Year,state_code,parent_metro_region,sales_price,list_prices,home_sold,total_sales,off_market_in_two_weeks
2021,NY,"Plattsburgh, NY",6870314.5,11373046.307800002,1288.0,1152.0,0.60080541500000006
2021,NY,"Corning, NY",12245983.195500001,7085854.4175999993,4086.3381442000004,1310.03942045,19.005674699000004
2021,NY,"Jamestown, NY",13282359.531200001,13865838.7148,5819.4491277,4567.8872006999991,44.800072241999992
2021,NY,"Kingston, NY",27656154.760999996,28656594.0,4238.5089145,3636.72365128,11.401312807
2021,NY,"Albany, NY",24007239.163000006,24319282.747,45644.902762000005,42393.392432,56.240431718999993
2021,NY,"Hudson, NY",17060210.0,14460150.0,1114.0,384.0,0.088932806
2021,NY,"Olean, NY",14398175.357600002,14374080.251799999,3456.3179064,2822.6157612000006,37.202269092
2021,OH,"Ashtabula, OH",8358957.0,9271315.4918,4867.7328139,4106.2503384,25.829015876
2021,OH,"Marion, OH",9240894.9657,8724899.735799998,2999.6131225,2696.8209642,10.886954702
2021,OH,"Jackson, OH",4465200.0,3955600.0,100.0,106.0,10.657142857999998
2021,OH,"Bellefontaine, OH",15665159.122000001,15451799.970000003,2693.116619,2271.5826255,8.288110509
2021,OH,"Findlay, OH",15606946.463000001,15856517.9234,4804.0052981,4090.728044,5.3794004050000011
2021,OH,"Wilmington, OH",10636500.0,10204250.0,2068.3924293,1912.9817942599998,16.011443517999997
2021,OH,"Washington Court House, OH",9077567.5,8473628.2344,1677.4792384700002,1485.83162951,13.603898736
2021,OH,"Cleveland, OH",20082035.479,20164333.118,131459.61142499998,125580.41533100001,50.052835303
2021,OH,"Coshocton, OH",7210000.0,7145699.5,1729.999156,1453.4154613899998,16.540260629
2021,OH,"Sandusky, OH",16495237.272,16527350.0,1827.9163368,1538.4714244100003,22.292500892
2021,OH,"Canton, OH",14391637.169,14569720.149999999,22773.720963,21948.331210000004,45.044009488000007
2021,OH,"Fremont, OH",8828566.4517,8752100.0,929.94231409000008,591.37179784,6.226116429
2021,OH,"New Philadelphia, OH",11284546.711900003,11230577.3474,4326.581413,3913.8893540999998,22.320398129999997
2021,OH,"Tiffin, OH",7178819.8417000007,6636600.0,1192.9608685399999,1013.0,3.1077921629999996
2021,OH,"Norwalk, OH",9111503.0,8473727.1046000011,742.99987053999985,664.0,11.124463116999998
2021,OH,"Sidney, OH",8877165.6104,8691713.4802,2124.808587,1867.8296409000002,10.28165816
2021,OH,"Zanesville, OH",10896374.445,10800623.3454,3903.2189153,3501.5407363000004,17.194602565
2021,OH,"Athens, OH",8976275.0,9482450.0,295.24609826,237.46194112699996,15.682967028999999
2021,OH,"Cambridge, OH",6974548.5369,7147597.0,1685.00074142,1411.92526526,17.175919036
2021,OH,"Defiance, OH",9029535.1639,8378091.6682,1781.9365682000005,1567.41029831,10.945809698
2021,OK,"McAlester, OK",9274034.0,9610368.3699000012,2348.0,1892.8026856200001,23.966793801
2021,OK,"Miami, OK",4571000.0,4558400.0,78.0,72.0,8.242857142
2021,OK,"Altus, OK",4881200.0,4412050.0,614.0,628.0,15.998554601
2021,OK,"Shawnee, OK",9187635.5662,9160044.3950999975,3944.0000578000004,3749.2590824000004,33.277556764
2021,OK,"Tulsa, OK",19302786.154000003,19781424.33,68768.963973,66322.576921,73.994339204
